Time,1,2,3,4,5,6,7,8,9,10,Temp,Amplitude(mm)
07/13_11:35:11,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:12,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:12,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:13,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:13,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:14,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:14,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:15,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:15,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:16,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:16,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:17,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:17,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:18,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:18,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:19,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:19,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:20,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:20,0,0,0,0,0,0,0,0,0,0,26.5,0.003672
07/13_11:35:21,0,0,0,0,0,0,0,0,0,0,26.5,0.001632
07/13_11:35:21,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:22,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:22,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:23,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:23,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:24,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:24,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:25,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:25,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:26,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:26,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:27,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:27,0,0,0,0,0,0,0,0,0,0,26.5,0.003264
07/13_11:35:28,0,0,0,0,0,0,0,0,0,0,26.5,0.003672
07/13_11:35:28,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
07/13_11:35:29,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:29,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:30,0,0,0,0,0,0,0,0,0,0,26.5,0.00204
07/13_11:35:30,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:31,0,0,0,0,0,0,0,0,0,0,26.5,0.002856
07/13_11:35:31,0,0,0,0,0,0,0,0,0,0,26.5,0.002448
